번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
261,US,Color-based calibration for eye-tracking,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2020-11-13,2020,11,2022-09-13,2022,669,1~2년,1,1~5항,G06F3/01|G02B27/01|G02B27/00,"['G06F', 'G02B', 'G02B']",3,G06F3/013|G06F3/017|G02B27/0093|G02B27/0172|G02B2027/0138|G02B2027/0178,6,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A method for color-based calibration for eye-tracking includes presenting a calibration image to an eyebox area via a waveguide of a head mounted display (HMD). An estimated pupil center location of an eye is determined with an eye-tracking system. Next, user input is received in response to the calibration image. The user input includes an indication of a perceived color nonuniformity of the calibration image. The estimated pupil center location is then adjusted based on the user input.",492,3.8,,17097376
262,EP,OPTICALLY POWERED LENS ASSEMBLY FOR HEAD-MOUNTED DEVICES,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-09-19,2023,9,,,,미등록(A1 등),0,추출불가,G02B27/01|G02C7/02,"['G02B', 'G02C']",2,G02B27/0172|G02B27/0176|G02B2027/0178|G02B2027/015|G02B3/08|G02B3/0087|G02C7/086|G02C7/02|G02C2202/16|G02C2202/20|G02C2202/12|G02B1/10|G02B27/0093,13,"['광학부품(Optics)', '착용형광학(Wearable)']","An apparatus, system, and method for a lens assembly for a head-mounted device includes a frame and a lens assembly. The lens assembly is configured to be carried by the frame. The lens assembly includes a lens bulk, an edge thickness, and a power layer. The edge thickness includes a predetermined thickness value that is configured to be compatible with (e.g., a slot in) the frame. The power layer is configured to be set to one of a number of predetermined power levels while maintaining the edge thickness within the predetermined thickness value. The power layer is configured to define a course power level of the lens assembly (e.g., in the range of -6.00 D to +6.00 D).",678,5.7,,23198238
263,US,MULTI-PUPIL DISPLAY AND EYE-TRACKING WITH INTERFEROMETRIC SENSING,A1,"Meta Platforms Technologies, LLC|Meta Platforms Technologies, LLC",Meta Platforms,2022-11-16,2022,11,,,,미등록(A1 등),1,1~5항,G02B27/00|G02B27/01,"['G02B', 'G02B']",2,G02B27/0093|G02B27/0172|G02B2027/0138|G02B2027/0187|G02B2027/0178,5,['광학부품(Optics)'],"An eye-tracking system may include a light source to emit infrared (IR) light. A waveguide may include an input coupler. A scanner may be to direct the infrared (IR) light to the input coupler, which may be configured to direct the infrared (IR) light to exit the waveguide toward an eyebox region for eye-tracking. The scanner may be to direct visible light to the input coupler. The input coupler may be to direct the visible light toward the eyebox region for display as a virtual image. A sensor may be to generate an imaging signal when infrared (IR) light impinges upon the sensor via the scanner and the input coupler.",625,3,,17988649
264,EP,CASCADING OPTICS IN OPTICAL COMBINERS OF HEAD MOUNTED DISPLAYS,B1,Google LLC,Google,2014-01-23,2014,1,2021-10-06,2021,2813,5년 초과,0,추출불가,G02B27/01|G06F3/01,"['G02B', 'G06F']",2,G02B27/017|G02B27/0172|G02B2027/0174|G02B2027/0112|G02B2027/0125|G02B2027/0178|G02B2027/0187|G06F3/013,8,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']",An apparatus for a head mounted display includes a display module for launching display light along a forward propagating path. The apparatus also includes a light relay to receive the display light. The light relay includes a first optic disposed along the forward propagating path. The light relay also includes a second optic disposed along the forward propagating path between the first optic and the display module. The first optic is configured to direct the display light in an eye-ward direction and the second optic is configured to direct the display light in an eye-ward direction.,592,3.9,WO2014126692,14751485.5
265,EP,OPTICAL DEVICE AND HEAD MOUNTED DISPLAY,B1,Google LLC,Google,2019-08-02,2019,8,2025-03-12,2025,2049,5년 초과,1,1~5항,G02B27/01|G02B17/08|G02B27/14,"['G02B', 'G02B', 'G02B']",3,G02B27/0172|G02B2027/0178|G02B17/0804|G02B27/148|G02B1/11|G02B5/3041|G02B2027/013,7,['광학부품(Optics)'],"An optical device, such as implemented in a head mounted display, includes a display that emits light, a reflector, and a partially reflective circular polarizer (RCP) positioned between the reflector and a user's eye or eyes. The reflector can be partially reflective. The partially reflective circular polarizer, the reflector, or both, can be curved. Light from the display is reflected one or more times by the reflector. The RCP can include one or more of a quarter-wave plate (QWP), a reflective polarizer layer, a linear polarizer, a supportive substrate, and an anti-reflective film. The reflector can include a mirror coating and an anti-reflection coating.",666,4.2,WO2020028869,19759109.2
266,EP,PRISM-BASED EYE TRACKING,B1,Google LLC,Google,2016-11-18,2016,11,2020-10-28,2020,1440,3~5년,3,1~5항,G02B27/01|G06F3/01|G02B27/00|G02B27/14,"['G02B', 'G06F', 'G02B', 'G02B']",4,G02B27/141|G02B27/0101|G06F1/163|G06F3/011|G06F3/0304|G06T7/70|G02B27/0093|G02B27/149|G06F3/013|H04N23/11|G02B27/0172|G02B2027/0132|G02B2027/0138|G06V40/19|G06V40/193|H04N23/56|H04N23/72|G06T2207/10048|G06T2207/30201|H04N5/265,20,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","An HMD device (100, 300) includes a display panel (102, 308, 310) and an x-prism beamsplitter (104) disposed along a first axis (202) between the display panel and an expected position of an eye (112). The x-prism beamsplitter directs a first light beam (212) in a first direction from the display panel to the eye along the first axis, directs a second light beam (216) in a second direction along a second axis (208) substantially perpendicular to the first axis, and directs a third light beam (222) in the second direction along the second axis, wherein the second light beam is representative of the first light beam and the third light beam is representative of a reflection of the first light beam off of the eye. The HMD device further includes an imaging camera (106) to capture a composite image (232) comprising a combination of both a representation of the second light beam and a representation of the third light beam.",932,9.7,WO2017091477,16805698.4
267,WO,TECHNIQUES FOR PRODUCING GLINTS AND IRIS ILLUMINATION FOR EYE TRACKING,A2,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-02-02,2023,2,,,,미등록(A1 등),15,6~15항,G02B27/00|G02B27/01,"['G02B', 'G02B']",2,G02B2027/0138|G02B27/0093|G02B27/0172|G02B2027/0187|G06T7/292|H04N23/74|H04N23/56|H04N23/55|G02B2027/0178|G06T2207/10152|G06T2207/30201,11,['광학부품(Optics)'],"An eye tracking system includes a smaller form factor and permits the eyes of a viewer to be tracked more accurately and/or with a better signal-to-noise ratio relative to conventional eye tracking systems. The eye tracking system can include multiple light sources configured to illuminate an eye. Either a lenslet array or diffuser is disposed in a path of light emitted by each light source included in the one or more light sources, or the path of light emitted by each light source included in the one or more light sources is unobstructed by any optical element. In addition, the light sources can include Lambertian light sources that emit light uniformly in all directions, narrow field of view (FOV) light sources, and/or a combination thereof in order to provide flood illumination to distinguish between an iris and a pupil of the eye.",846,7.4,WO2023150239,PCT/US2023/012234
268,US,DEPTH DATA ADJUSTMENT BASED ON NON-VISUAL POSE DATA,A1,GOOGLE LLC,Google,2021-03-01,2021,3,,,,미등록(A1 등),40,30항 초과,H04N13/128|G06T19/00|H04N13/122|H04N13/344|H04N13/366|H04N5/222|G01S7/51|H04N5/232|G01S17/89|G01S17/86,"['H04N', 'G06T', 'H04N', 'H04N', 'H04N', 'H04N', 'G01S', 'H04N', 'G01S', 'G01S']",10,G01S17/89|G01S7/51|H04N5/2226|H04N13/128|H04N13/344|G01S17/86|H04N5/23267|H04N23/683|H04N23/689|H04N5/23258|H04N23/6812|G06T19/006|H04N13/122|H04N5/2329|H04N13/366,15,"['영상/음향전송(AV)', '영상처리(Image)']","An HMD adjusts adjusting depth information based on detected motion of the system. The HMD includes a depth camera that collects depth data for objects in the local environment of the HMD. The HMD further includes an inertial measurement unit (IMU) including non-visual motion sensors such as one or more accelerometers, gyroscopes, and the like. The HMD adjusts the received depth information based on motion data provided by the IMU, thereby improving the accuracy of the depth information, and in turn reducing visual artifacts that can result from inaccuracies in the depth information.",590,17,,17188900
269,US,Multi-pupil display and eye-tracking with interferometric sensing,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2022-11-16,2022,11,2024-05-21,2024,552,1~2년,1,1~5항,G02B27/00|G02B27/01,"['G02B', 'G02B']",2,G02B27/0093|G02B27/0172|G02B2027/0138|G02B2027/0187|G02B2027/0178,5,['광학부품(Optics)'],"An eye-tracking system may include a light source to emit infrared (IR) light. A waveguide may include an input coupler. A scanner may be to direct the infrared (IR) light to the input coupler, which may be configured to direct the infrared (IR) light to exit the waveguide toward an eyebox region for eye-tracking. The scanner may be to direct visible light to the input coupler. The input coupler may be to direct the visible light toward the eyebox region for display as a virtual image. A sensor may be to generate an imaging signal when infrared (IR) light impinges upon the sensor via the scanner and the input coupler.",625,3,,17988649
270,US,Foveated beamforming for augmented reality devices and wearables,B2,Google LLC,Google,2021-09-03,2021,9,2024-04-23,2024,963,2~3년,1,1~5항,G06F3/01|G06T7/50|G06T7/70|G06V40/16|G06V40/19|G10L15/22|G10L15/25|G10L15/26|G10L21/10|G10L21/18|H04R1/08|H04R1/40|H04R3/00,"['G06F', 'G06T', 'G06T', 'G06V', 'G06V', 'G10L', 'G10L', 'G10L', 'G10L', 'G10L', 'H04R', 'H04R', 'H04R']",13,G10L2021/02166|G02B27/017|G06K9/00604|G10L15/26|G10L21/0208|G02B27/0093|G02B2027/0138|G06K9/00281|H04R2499/15|H04R1/406|H04R3/005|H04R25/554|G06F3/013|G06F3/011|G06T7/73|G06T7/246|G06V40/193|G06V10/25|G10L21/10|G06T2207/30201|G06T7/70|G10L15/22|H04R1/08|G10L15/25|G10L21/18|G06T7/50|H04R2201/401|G06V40/19|G06V40/171,29,"['AI/비전(AI)', '영상/음향전송(AV)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","An augmented reality (AR) device, such as AR glasses, may include a microphone array. The sensitivity of the microphone array can be directed to a target by beamforming, which includes combining the audio of each microphone of the array in a particular way based on a location of the target. The present disclosure describes systems and methods to determine the location of the target based on a gaze of a user and beamform the audio accordingly. This eye-tracked beamforming (i.e., foveated beamforming) can be used by AR applications to enhance sounds from a gaze direction and to suppress sounds from other directions. Additionally, the gaze information can be used to help visualize the results of an AR application, such as speech-to-text.",744,17,,17446877
271,WO,HEAD-MOUNTED DEVICE CONFIGURED FOR TOUCHLESS HAND GESTURE INTERACTION,A1,GOOGLE LLC,Google,2023-04-06,2023,4,,,,미등록(A1 등),22,16~30항,G06V10/12|G06V40/20,"['G06V', 'G06V']",2,G06V40/28|G06V10/12|G06V10/422,3,['AI/비전(AI)'],"Touchless interaction with a head-mounted device may require more power than practical. The disclosed techniques address this problem, and others, by describing a sparse keypoint, hand-modeling technique that can reduce the computation and power required for recognizing a dynamic gesture. The power requirements for the touchless interaction may be further reduced by performing this modeling and recognition only when a hand is detected in a field-of-view of the head mounted device and by using a split-computing architecture with a companion device. The disclosed hand modeling and tracking techniques may be further applied to other applications, such as locking a rendered element in an augmented reality environment to the hand of a user.",745,5.7,WO2024210899,PCT/US2023/017742
272,WO,VIRTUAL REALITY SEARCH FUNCTION,A1,GOOGLE LLC,Google,2023-03-10,2023,3,,,,미등록(A1 등),23,16~30항,G06F3/01|G06F1/16|G06F3/03|G06F3/0346|G06F16/432|H04N23/611|H04N23/66|G06F16/438|G06F16/44|G06F16/483|G06Q30/00|G02B27/01,"['G06F', 'G06F', 'G06F', 'G06F', 'G06F', 'H04N', 'H04N', 'G06F', 'G06F', 'G06F', 'G06Q', 'G02B']",12,H04N23/66|G06F3/017|G06F3/0346|G06F1/163|G02B2027/0138|G06F3/0304|G06F16/434|G06F16/438|G06F16/483|G06F1/1686|G06F16/9538|G06F16/9532|H04N23/61|G06Q30/0631|G06Q30/0643|G06Q30/0251,16,"['영상/음향전송(AV)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A gesture sensing system coordinates motion sensed by a wrist-worn device with operation of a head-mounted device to facilitate an intuitive real-time visual search. A wrist-worn device such as a smart watch or a fitness tracker can be equipped with micro-sensors to detect hand, arm, and wrist motion. Sensed gestures are incorporated into a visual search function that displays search results on a heads-up display. The hand gesture sensor permits the user's hand to function as an organic input device to the headset. Sensing the hand gesture triggers operation of the headset-mounted camera to conserve battery power.",621,15.5,WO2024191449,PCT/US2023/064155
273,US,Heat transfer through frame component of head-mounted device,B1,Google LLC,Google,2018-12-14,2018,12,2020-11-03,2020,690,1~2년,1,1~5항,G02B27/01|G06F1/20|G06F1/16|H01M10/613|H01M10/623|H01M10/6552,"['G02B', 'G06F', 'G06F', 'H01M', 'H01M', 'H01M']",6,G06F1/163|G06F1/203|Y02E60/10|H01M2220/30|H01M10/615|H01M10/623|H01M10/6552|H01M10/667|H01M10/653|H01M10/6554|G02B27/0176|G02B2027/0178|H01M10/613,13,"['광학부품(Optics)', '배터리/전력(Battery)', '컴퓨팅/인터페이스(Computing)']","An apparatus includes a frame component of a head-mounted device (HMD) configured to secure the HMD to a head of a user. The frame component includes therein a first compartment, a second compartment, and a channel connecting the first compartment and the second compartment. The frame component is configured to be positioned along a side of the head with the channel passing over an ear of the head, the first compartment disposed on a first side of the ear, and the second compartment disposed on a second side of the ear. The apparatus also includes a battery disposed within the first compartment, a processor disposed within the second compartment, and a heat pipe extending from the first compartment to the second compartment through the channel. The heat pipe is configured to transfer heat from the processor to the battery.",834,7.8,,16220885
274,US,BALANCED SWITCHABLE CONFIGURATION FOR A PANCHARATNAM-BERRY PHASE (PBP) LENS,A1,"Meta Platforms Technologies, LLC|Meta Platforms Technologies, LLC",Meta Platforms,2021-07-19,2021,7,,,,미등록(A1 등),1,1~5항,G02F1/01,['G02F'],1,G02F1/294|G02B27/0172|G02B2027/0178|G02B2027/0187|G02B2027/0138|G02B2027/014|G02B1/002|G02F1/0136|G06F3/012|G06F3/013,10,['디스플레이(Display)'],"An optical lens assembly to accept various illumination ellipticity profiles as angle of incidence (AOI) varies is provided. The optical lens assembly may include an optical stack, such as pancake optics. The optical lens assembly may also include a switchable optical element communicatively coupled to a controller. The optical lens assembly may further include an optical element, such as a Pancharatnam-Berry phase (PBP) lens, also known as a geometric phase lens (GPL). In some examples, the switchable optical element may be a switchable have wave plate, which may be configured, via application of optical power by the controller, so that the optical lens assembly may accept varying illumination ellipticity profiles as angle of incidence (AOI) increases.",763,4.2,,17379625
275,US,Differential illumination for corneal glint detection,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2022-01-14,2022,1,2023-12-26,2023,711,1~2년,1,1~5항,G06V40/00|G06F3/01|G06T7/73|H04N23/56|G06V40/19|G06V40/18,"['G06V', 'G06F', 'G06T', 'H04N', 'G06V', 'G06V']",6,G06F3/013|G06V40/19|G06V10/141|H04N5/2256|G06V40/193|H04N23/56|G06T7/246|G06T2207/10048|G06T2207/10152|G06T2207/30041|G06T7/73|G06T2207/30201,12,"['AI/비전(AI)', '영상/음향전송(AV)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","An apparatus, system, and method for detecting glints includes a pair of light sources positioned on a head-mounted frame and driven to illuminate a corneal surface of an eye with differential light signals. An image sensor is positioned on the head-mounted frame to receive reflections of the differential light signals from the corneal surface. An orientation of a cornea (e.g., corneal sphere) of the eye may be determined at least partially based on the reflections of the differential light signals.",504,7.5,,17576548
276,US,Illumination system,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2022-10-24,2022,10,2023-12-05,2023,407,1~2년,1,1~5항,G02B27/28|G02B27/01|G02B27/42|G02F1/1362|G02B27/00|G02F1/1335|G02B5/30,"['G02B', 'G02B', 'G02B', 'G02F', 'G02B', 'G02F', 'G02B']",7,G02B27/0172|G02B27/0093|G02B27/42|G02B27/283|G02F1/13355|G02B5/3025|G02B27/425|G02B2027/0178|G02F1/136277,9,"['디스플레이(Display)', '광학부품(Optics)']","An example optical assembly includes a display, a light source for illuminating the display, and a diffraction type polarizing beam splitter (DT-PBS) configured to direct light from a light director, wherein the DT-PBS is polarization sensitive and configured to direct, based on polarization, a first portion of light towards the display.",339,6.9,,18049173
277,US,In-field illuminator for eye depth sensing,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2020-07-01,2020,7,2023-10-24,2023,1210,3~5년,1,1~5항,G02B27/42|G02B27/01|G02B27/00|G02B27/10,"['G02B', 'G02B', 'G02B', 'G02B']",4,G02B2027/0178|G02B27/1006|G02B2027/0138|G02B27/4205|G02B2027/0174|G02B27/0172|G02B27/0093,7,['광학부품(Optics)'],"A near-eye optical device includes a transparent layer, an in-field illuminator, and a diffractive optical element (DOE). The in-field illuminator is configured to emit near-infrared light centered around a first wavelength. The diffractive optical element is configured to be illuminated by the near-infrared light emitted by the in-field illuminator. The DOE generates a structured light projection that includes dots that expand as the structured light projection propagates farther from the DOE. The structured light projection is directed to illuminate an eyebox.",568,4.7,,16918674
278,WO,COMPACT IMAGING OPTICS USING LIQUID CRYSTAL (LC) FOR DYNAMIC GLARE REDUCTION AND SHARPNESS ENHANCEMENT,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-06-28,2022,6,,,,미등록(A1 등),15,6~15항,G02C7/10|G02C7/12|G02B27/01,"['G02C', 'G02C', 'G02B']",3,G02B27/0172|G02B2027/0118|G02C7/101|G02C7/12|G02F1/0136|G02F1/137,6,"['광학부품(Optics)', '착용형광학(Wearable)']","An optical assembly to reduce glare and enhance sharpness in a head-mounted device (HMD) is provided. The optical assembly may include an optical stack, such as pancake optics. The optical assembly may also include at least two optical elements. The optical assembly may further include at least one liquid crystal (LC) layer between the at least two optical elements, wherein the liquid crystal (LC) layer provides dynamic glare reduction and enhanced sharpness using a controllable polarization technique. In some examples, the controllable polarization technique may include determining optical assembly orientation using a sensor. Based the optical assembly orientation, the polarization of the at least one liquid crystal (LC) layer may be dynamically adjusted via adjustments in applied voltage to minimize or reduce glare and enhance visual sharpness.",858,6.1,WO2023278479,PCT/US2022/035362
279,WO,MOUNTING MECHANISMS FOR OPTICAL ASSEMBLIES,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-12-14,2022,12,,,,미등록(A1 등),15,6~15항,G02B27/01|G02C1/06|G02C1/00,"['G02B', 'G02C', 'G02C']",3,G02B27/0176|G02B2027/0178|G02C1/06|G02C1/10|G02C2200/12,5,"['광학부품(Optics)', '착용형광학(Wearable)']","Optical assemblies may include a projector assembly, a waveguide, and a mounting mechanism. The projector assembly may be configured for generating an image, and the waveguide may be configured for transmitting the image to a location in front of a user's eye. The mounting mechanism may removably couple the waveguide to an underlying frame. The mounting mechanism may include a detachable coupling, at least one flexure secured to a peripheral edge of the waveguide, and at least one flexure support coupled to the at least one flexure. The flexure support may be removably secured to the detachable coupling by a removable retainer. Various other related systems, methods, and devices are also disclosed.",707,5.8,WO2023114263,PCT/US2022/052787
280,US,"Apparatus, system, and method for improving digital head-mounted displays",B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2018-06-04,2018,6,2023-04-04,2023,1765,3~5년,1,1~5항,G02B27/01|G06T19/00|G06T7/521|G06T7/70|G06F3/01,"['G02B', 'G06T', 'G06T', 'G06T', 'G06F']",5,G02B27/0172|G02B27/0179|G02B2027/0185|G02B2027/0138|G02B27/0093|G06F3/013|G06F3/012|G06F3/016|G06T19/006|G06T7/521|G06T7/70|G02B2027/013|G06T2207/10028|G02B2027/0187,14,"['광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A head-mounted display system may include a wearable frame securable to a user's head. The head-mounted display system may also include a mapping subsystem that maps a local environment of the user when the wearable frame is secured to the user's head. Additionally, the head-mounted display system may include a varifocal display apparatus mounted to the wearable frame and configured to direct computer-generated images toward the user's eyes at a variable focal length. Various other apparatuses, systems, and methods are also disclosed.",540,7.7,,15997259
281,WO,"APPARATUS, SYSTEM, AND METHOD FOR DISPOSING PHOTONIC INTEGRATED CIRCUITS ON SURFACES",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-04-25,2022,4,,,,미등록(A1 등),15,6~15항,G02B6/122|G02B27/01,"['G02B', 'G02B']",2,G02B2006/12069|G02B6/1221|G02B27/0172|G02B2027/0178,4,['광학부품(Optics)'],"A system comprising (1) at least one optical element having a nonplanar surface, (2) at least one photonic integrated circuit disposed on the nonplanar surface of the optical element, the photonic integrated circuit comprising (A) an optical core that contains an optically anisotropic organic material and (B) a cladding disposed over the optical core. Various other apparatuses, systems, and methods are also disclosed.",421,4.9,WO2022232069,PCT/US2022/026226
282,US,Reducing visually induced motion sickness in head mounted display systems,B2,Google LLC,Google,2018-03-06,2018,3,2020-04-21,2020,777,2~3년,1,1~5항,G06T15/20|G06T15/08|G06F3/01|G09G3/00|G02B27/01|G06F3/147,"['G06T', 'G06T', 'G06F', 'G09G', 'G02B', 'G06F']",6,G06F3/147|G09G3/002|G06F3/011|G06F3/013|G09G3/001|G09G2320/10|G06F3/012|G09G2320/0261|G06T15/205|G06T15/08|G02B27/017,11,"['디스플레이(Display)', '광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A head mounted display (HMD) for displaying images to a user includes a sensor unit configured to detect motion of a head of the user of the HMD. The HMD also includes one or more processors configured to, in response to the motion, reduce contrast in a peripheral area of an image displayed to the user from an original contrast of the image, the image having a foveal area and the peripheral area relative to the optical axis of the eye of the user, the contrast being least reduced in a first portion of the peripheral area closest the foveal area and being most reduced in a second portion of the peripheral area farthest from the foveal area.",647,7.1,,15912887
283,EP,SLIPPAGE RESISTANT GAZE TRACKING USER INTERFACES,B1,Google LLC,Google,2020-08-10,2020,8,2024-07-24,2024,1444,3~5년,0,추출불가,G06F3/01,['G06F'],1,G06F3/013|G02B27/0172|G06F3/0487,3,['컴퓨팅/인터페이스(Computing)'],"A slippage resistant user interface (UI) may account for movement due to slippage, remounting and the like, of a head mounted display (HMD) device in processing user eye gaze in puts. The slippage resistant UI may include a number of UI elements. Each UI element may have a unique pattern of movement defining a display trajectory for that UI element, providing for differentiation amongst the UI elements. A user gaze trajectory may be matched with one of the display trajectories of the UI elements, and the corresponding UI element may be identified as the target UI element, intended for selection by the user. An eye to screen recalibration of the HMD may be accomplished using translational, scaling, and rotational offsets between the gaze trajectory and the display trajectory of the target UI element.",810,1.6,WO2022035458,20758423.6
284,EP,HEAD MOUNTED DISPLAY WITH MECHANICAL SCANNING,B1,Google LLC,Google,2019-10-02,2019,10,2024-05-22,2024,1694,3~5년,0,추출불가,G02B27/01|G09G3/00|G06F3/147,"['G02B', 'G09G', 'G06F']",3,G02B27/0172|G02B27/0176|G02B2027/0178|G06F3/147|G09G3/003|G02B2027/0154|G09G3/02|G09G2320/064|G09G2320/0646,9,"['디스플레이(Display)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A head mounted display (HMD) system (300, 1000) includes a display for emitting light (106) toward an eye-ward side of the system and which allows both ambient light (105) and emitted light to reach an eye (107) of a user. The system provides augmented reality (AR) based viewing and includes a rotatable substrate (315) supporting a set of light emitting elements (301). Each light emitting element is oriented toward a world side of the HMD system. A rotatable reflective surface (316) is positioned on the world side of the set of the light emitting elements. The reflective surface reflects emitted light toward a user eye. A motor, coupled to the rotatable substrate and the rotatable reflective surface, rotates these elements about a common axis and a display driver (317) selectively activates the light emitting elements during this rotation in accordance with an illumination sequence so as to provide an image (310).",927,4.7,WO2020072612,19791040.9
285,EP,ARRAY DETECTOR FOR DEPTH MAPPING,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2017-02-24,2017,2,2024-07-03,2024,2686,5년 초과,0,추출불가,G01S7/481|H04N13/254|H04N13/271|H04N23/45,"['G01S', 'H04N', 'H04N', 'H04N']",4,G02B2027/0138|G02B27/0172|H04N13/243|H04N13/271|G01S7/4813|G01S7/4816|G01S17/36|G01S17/46|G01S17/89|H04N13/254|H04N13/344|H04N23/45|H04N23/55|H04N13/332|G06T19/006,15,['영상/음향전송(AV)'],"A depth camera assembly (DCA) captures data describing depth information in a local area. The DCA includes an array detector, a controller, and an illumination source. The array detector includes a detector that is overlaid with a lens array. The detector includes a plurality of pixels, the plurality of pixels are divided into a plurality of different pixel groups. The lens array includes a plurality of lens stacks and each lens stack overlays a different pixel group. The array detector captures one or more composite images of the local area illuminated with the light from the illumination source. The controller determines depth information for objects in the local area using the one or more composite images.",718,7.4,,17157886.7
286,US,Compact eye tracking using folded display optics,B2,GOOGLE LLC,Google,2018-02-22,2018,2,2020-01-28,2020,705,1~2년,1,1~5항,G02B27/01|G02B27/09|G02B5/20|G02B5/30|G06F3/01|G02B27/00,"['G02B', 'G02B', 'G02B', 'G02B', 'G06F', 'G02B']",6,G02B27/0172|G02B27/0093|G02B27/283|G02B27/286|G02B5/20|G02B5/208|G02B13/0055|G02B17/0856|G02B2027/0138|G02B5/3025|G02B2027/0178|G02B27/0101|G02B27/0955|G06F3/013,14,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Optical assemblies for use in virtual and augmented reality environments are described. The optical assemblies may include lenses, filter stacks, cameras, and image projecting devices. For example, the optical assemblies may include at least one lens, a first filter stack between the at least one lens and an image projecting device, a second filter stack between the first filter stack and the image projecting device, and a camera configured to capture images of an infrared reflection of light through the at least one lens.",528,8.2,,15902811
287,WO,HEAD MOUNTED DISPLAY COMPRISING HEAT PIPE,A1,GOOGLE LLC,Google,2018-07-12,2018,7,,,,미등록(A1 등),20,16~30항,G02B27/01,['G02B'],1,G02B27/017|H05K7/20336|H05K7/2039|H05K1/0206|H05K1/181|F28D15/04|G06F1/163|G06F1/1637|G06F1/184|G06F1/203,10,['광학부품(Optics)'],"A head-mounted display (HMD) device (100) includes a printed circuit board (602) having one or more processors. A heat transfer plate (406) having a heat- generating component-facing surface is thermally coupled to the printed circuit board. The HMD exterior-facing surface of the heat transfer plate opposite from the heat-generating component-facing surface is thermally coupled to a heat pipe (404). The heat pipe is thermally coupled to a heat transfer shell (202), which is configured as a heat sink to receive heat from the heat pipe. In operation, heat flows from the heat-generating components of the HMD to the heat transfer plate. Thermal energy removed from the heat-generating components is transferred to the heat transfer shell via the heat pipe, which in turn transfers the heat to the external surface of the HMD to be dissipated into ambient room temperature of the surrounding environment.",907,7.4,WO2019074565,PCT/US2018/041889
288,WO,DEPTH DATA ADJUSTMENT BASED ON NON-VISUAL POSE DATA,A1,GOOGLE LLC,Google,2018-04-13,2018,4,,,,미등록(A1 등),21,16~30항,H04N5/232|H04N5/222|G06T7/50|G01S17/89,"['H04N', 'H04N', 'G06T', 'G01S']",4,G01S17/89|G01S7/51|H04N5/2226|H04N13/128|H04N13/344|G01S17/86|H04N23/683|H04N23/689|H04N23/6812|G06T19/006|H04N13/122|H04N13/366,12,"['영상/음향전송(AV)', '영상처리(Image)']","An HMD adjusts adjusting depth information based on detected motion of the system. The HMD includes a depth camera that collects depth data for objects in the local environment of the HMD. The HMD further includes an inertial measurement unit (IMU) including non-visual motion sensors such as one or more accelerometers, gyroscopes, and the like. The HMD adjusts the received depth information based on motion data provided by the IMU, thereby improving the accuracy of the depth information, and in turn reducing visual artifacts that can result from inaccuracies in the depth information.",590,9.8,WO2019022802,PCT/US2018/027569
289,WO,ARTIFICIAL EYE SYSTEM,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-08-18,2022,8,,,,미등록(A1 등),15,6~15항,G02B27/01|G02B5/08,"['G02B', 'G02B']",2,,0,['광학부품(Optics)'],A lens assembly includes an optical element having an outward-facing surface with a cornea-shaped contour. The lens assembly includes a housing that carries an optical element. The housing at least partially houses an image sensor. The image sensor is positioned to receive image light from the optical element. The lens assembly is an artificial eye system that may be used to mimic a human eye while operating or testing a head-mounted display.,446,3.5,WO2023023219,PCT/US2022/040709
